                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.59031,                 0.3986,                0.94791,                0.97327,                      1,                  0.995,                0.86175,                 0.7078,                0.34321,                 1.0182,               0.002674,               0.002674,               0.002674
                     76,                0.58786,                0.38303,                0.93552,                0.97665,                      1,                  0.995,                0.86146,                0.68036,                0.31587,                0.99838,               0.002575,               0.002575,               0.002575
                     77,                0.62973,                0.42925,                0.95021,                0.97873,                      1,                  0.995,                0.86411,                0.71582,                0.33196,                 1.0094,               0.002476,               0.002476,               0.002476
                     78,                0.67832,                0.47146,                0.98198,                0.98464,                      1,                  0.995,                0.87141,                0.69507,                0.33845,                 1.0042,               0.002377,               0.002377,               0.002377
                     79,                0.62035,                0.39839,                0.93519,                0.98429,                      1,                  0.995,                0.85788,                0.64123,                0.30925,                0.99076,               0.002278,               0.002278,               0.002278
                     80,                0.58662,                 0.3904,                0.92502,                0.97785,                      1,                  0.995,                0.85737,                0.64971,                0.30082,                0.99717,               0.002179,               0.002179,               0.002179
                     81,                 0.5326,                0.38516,                0.91558,                0.97604,                      1,                  0.995,                 0.8662,                0.65327,                0.33538,                0.99984,                0.00208,                0.00208,                0.00208
                     82,                0.55665,                0.37721,                0.91907,                0.97552,                      1,                  0.995,                0.86367,                 0.6402,                0.31637,                 1.0013,               0.001981,               0.001981,               0.001981
                     83,                0.53831,                0.34864,                0.91834,                0.97542,                      1,                  0.995,                0.84917,                0.65015,                0.31678,                0.99305,               0.001882,               0.001882,               0.001882
                     84,                0.59002,                0.40059,                0.94782,                 0.9752,                      1,                  0.995,                 0.8676,                0.66288,                0.30092,                 1.0005,               0.001783,               0.001783,               0.001783
                     85,                0.52294,                0.33923,                0.88577,                0.98416,                      1,                  0.995,                0.85593,                0.64885,                0.29786,                 1.0054,               0.001684,               0.001684,               0.001684
                     86,                0.63072,                0.43321,                0.96023,                0.98172,                      1,                  0.995,                0.84205,                0.64019,                0.34153,                  1.004,               0.001585,               0.001585,               0.001585
                     87,                0.56185,                0.35885,                0.91426,                0.98087,                      1,                  0.995,                0.85668,                0.66349,                0.33889,                0.99812,               0.001486,               0.001486,               0.001486
                     88,                0.60824,                0.38566,                0.94843,                0.97698,                      1,                  0.995,                0.84283,                0.65187,                0.34005,                  1.006,               0.001387,               0.001387,               0.001387
                     89,                0.56055,                0.37775,                0.93732,                0.97457,                      1,                  0.995,                0.85724,                0.66887,                0.34824,                 1.0173,               0.001288,               0.001288,               0.001288
                     90,                0.54593,                0.36938,                0.92572,                0.97329,                      1,                  0.995,                0.85724,                0.70105,                0.35316,                 1.0345,               0.001189,               0.001189,               0.001189
                     91,                0.54705,                0.33938,                0.93886,                0.97451,                      1,                  0.995,                0.85809,                0.69239,                0.34343,                  1.021,                0.00109,                0.00109,                0.00109
                     92,                0.55427,                0.34299,                0.92899,                0.97574,                      1,                  0.995,                  0.865,                0.67933,                0.32708,                 1.0148,               0.000991,               0.000991,               0.000991
                     93,                0.54728,                 0.3433,                0.90613,                0.97738,                      1,                  0.995,                  0.874,                0.67614,                0.30691,                 1.0139,               0.000892,               0.000892,               0.000892
                     94,                0.55482,                0.35194,                0.94633,                0.98053,                      1,                  0.995,                0.86962,                0.68881,                0.32407,                 1.0188,               0.000793,               0.000793,               0.000793
                     95,                0.49779,                0.32764,                 0.9051,                0.98065,                      1,                  0.995,                   0.87,                0.67287,                0.31572,                 1.0119,               0.000694,               0.000694,               0.000694
                     96,                0.58366,                0.36364,                0.95797,                0.98262,                      1,                  0.995,                0.85094,                0.66624,                0.28408,                 1.0051,               0.000595,               0.000595,               0.000595
                     97,                0.56246,                0.35937,                0.92343,                0.98302,                      1,                  0.995,                0.85134,                0.66303,                0.26702,                  1.004,               0.000496,               0.000496,               0.000496
                     98,                0.50633,                 0.3509,                0.90246,                0.98305,                      1,                  0.995,                0.85134,                0.65571,                0.26504,                  1.001,               0.000397,               0.000397,               0.000397
                     99,                0.50145,                0.32554,                0.87862,                0.98265,                      1,                  0.995,                0.87092,                0.66246,                0.27968,                 1.0035,               0.000298,               0.000298,               0.000298
